Temperature,Humidity,Pressure,CO,CO2,Fire
27.6,48.4,1030.0,0.0,914.0,False
28.0,47.4,1030.0,0.0,448.0,False
27.1,50.2,1030.0,0.41,613.0,False
28.8,46.0,1030.0,0.34,726.0,False
28.4,47.2,1030.0,0.19,556.0,False
27.2,50.9,1030.0,0.0,756.0,False
26.9,50.9,1030.0,0.25,566.0,False
28.7,45.7,1030.0,0.77,1016.0,False
27.6,48.3,1030.0,0.0,709.0,False
27.6,48.5,1030.0,0.0,922.0,False
28.0,47.5,1030.0,0.0,336.0,False
27.1,50.2,1030.0,0.34,632.0,False
28.8,46.1,1030.0,0.37,730.0,False
28.4,47.3,1030.0,0.0,508.0,False
27.2,50.9,1030.0,0.0,754.0,False
26.9,50.7,1030.0,0.31,567.0,False
28.7,46.3,1030.0,0.66,1024.0,False
27.6,48.5,1030.0,0.03,698.0,False
27.6,48.5,1030.0,0.0,923.0,False
28.0,47.5,1030.0,0.0,288.0,False
27.2,50.3,1030.0,0.4,643.0,False
28.7,46.2,1030.0,0.32,312.0,False
28.5,47.1,1030.0,0.0,499.0,False
27.2,51.1,1030.0,0.0,753.0,False
26.9,50.8,1030.0,0.3,570.0,False
28.7,45.9,1030.0,0.66,966.0,False
27.6,48.4,1030.0,0.04,753.0,False
27.6,48.6,1030.0,0.0,924.0,False
28.0,47.5,1030.0,0.0,528.0,False
27.2,50.1,1030.0,0.44,650.0,False
28.8,46.3,1030.0,0.4,231.0,False
28.4,47.4,1030.0,0.0,510.0,False
27.2,51.0,1030.0,0.0,753.0,False
26.9,50.7,1030.0,0.22,570.0,False
28.7,45.9,1030.0,0.51,941.0,False
27.6,48.4,1030.0,0.0,756.0,False
27.6,48.6,1030.0,0.0,921.0,False
28.0,47.5,1030.0,0.0,471.0,False
27.2,50.1,1030.0,0.43,644.0,False
28.8,46.2,1030.0,0.35,793.0,False
28.4,47.3,1030.0,0.02,627.0,False
27.2,51.1,1030.0,0.0,757.0,False
27.0,50.7,1030.0,0.19,570.0,False
28.7,45.9,1030.0,0.52,974.0,False
27.7,48.5,1030.0,0.15,744.0,False
27.6,48.8,1030.0,0.0,903.0,False
28.0,47.6,1030.0,0.0,482.0,False
27.3,50.1,1030.0,0.39,648.0,False
28.8,46.3,1030.0,0.3,869.0,False
28.4,47.3,1030.0,0.14,437.0,False
27.2,51.0,1030.0,0.0,758.0,False
27.0,50.6,1030.0,0.24,571.0,False
28.8,45.8,1030.0,0.46,1004.0,False
27.7,48.5,1030.0,0.07,727.0,False
27.6,48.7,1030.0,0.0,915.0,False
28.0,47.5,1030.0,0.0,475.0,False
27.3,50.6,1030.0,0.49,646.0,False
28.8,46.3,1030.0,0.34,867.0,False
28.5,47.7,1030.0,0.08,384.0,False
27.3,51.1,1030.0,0.0,759.0,False
27.0,50.7,1030.0,0.27,570.0,False
28.8,46.0,1030.0,0.47,1016.0,False
27.7,48.3,1030.0,0.3,653.0,False
27.6,48.7,1030.0,0.0,922.0,False
28.0,47.3,1030.0,0.0,353.0,False
27.3,50.3,1030.0,0.58,637.0,False
28.7,46.3,1030.0,0.31,620.0,False
28.6,47.1,1030.0,0.16,567.0,False
27.3,50.9,1030.0,0.0,758.0,False
27.1,50.6,1030.0,0.27,577.0,False
28.8,45.8,1030.0,0.53,974.0,False
27.7,48.3,1030.0,0.51,744.0,False
27.7,48.8,1030.0,0.0,923.0,False
28.1,47.5,1030.0,0.0,222.0,False
27.3,50.3,1030.0,0.52,639.0,False
28.7,46.3,1030.0,0.28,668.0,False
28.6,46.8,1030.0,0.0,498.0,False
27.4,52.5,1030.0,0.0,759.0,False
27.1,50.7,1030.0,0.28,578.0,False
28.8,45.7,1030.0,0.49,950.0,False
27.7,48.3,1030.0,0.03,745.0,False
27.7,48.8,1030.0,0.0,951.0,False
28.1,47.4,1030.0,0.0,512.0,False
